Timestamp,1. Country,2. Gender,3. Grade/Year of Study,4. Self-Assessed Knowledge,2.1 Frequency of Use,2.2 Primary Use Cases,2.2.1 Output Reworking (Human-AI Teaming),2.2.2 Quality Perception,2.2.3 Efficiency and Value,2.2.4 Interaction Effort (Prompting),2.3 Confidence in Detection (Media Literacy),2.3.1 Fact-Checking Habits,2.3.2 Awareness of Hallucinations,2.3.3 Awareness of Bias,2.4 General Feeling,DS1.1 Technology Adoption Profile,DS1.2 Specific Frequency of Use,DS1.3 AI Perception,DS1.5 Guidelines on AI,"DS2.1 AI tools truly ""understand"" the meaning of the text they generate.","DS2.2 The information provided by AI is generally neutral, objective, and unbiased.",DS2.3 I think AI is inherently smarter and more capable than human beings.,DS2.4 I usually trust the factual accuracy of AI-generated answers without feeling the need to double-check other sources.,DS2.5 I clearly understand how a GenAI assistant generates its responses.,DS2.6 The way I request something to AI doesn’t have any impact on the quality of the result produced,DS3.1 Teachers will unfairly accuse me of using AI for my assignments even when I do not.,DS3.2 Using AI to do my homework will make me lose the ability to think critically and learn independently.,"DS3.3 The difficulty of distinguishing between human-created and AI-generated content (e.g., fake news, deepfakes).","DS3.5 AI tools might reinforce existing social biases and discrimination (e.g., gender, race, cultural stereotypes).",DS3.6 Unequal access to premium (paid) AI tools will create unfair advantages among students.,DS3.8 I worry that relying on AI to produce high-quality work makes me feel less capable or smart when I have to complete similar tasks on my own.,"DS4.1 I expect AI to significantly speed up my daily study/work tasks, making me more efficient.",DS4.2 I believe AI can perfectly tailor learning materials to match the individual learning pace and style of each student.,DS4.3 I expect AI to make learning more accessible and inclusive for students with diverse cognitive needs or language barriers.,DS4.4 I see AI as a non-judgmental tutor that is available 24/7 to answer my questions without making me feel inadequate.,DS4.5 I expect AI to provide better guidance for my future university or career choices than traditional school counselling.,Source Language
31/03/2026 09:20:49,Slovenia,Female,1st year,3 - Intermediate: I use some AI tools occasionally for simple tasks and understand their basic functions.,A few times a week,"Brainstorming ideas and getting inspiration, Translating texts or learning a language, Solving math/logic problems or coding, Helping with homework / Lesson planning",I review the AI-generated output to identify potential errors and refine the text as necessary.,"My original work would have been better, but the AI was faster.",It is a huge time saver.,A moderate amount of time (I ask for a few adjustments or refinements).,Somewhat confident,"I do a quick search (e.g., Google, Wikipedia) to verify it.","Yes, occasionally.",I have never paid attention to this aspect.,"Curiosity, Skepticism",You try it out after hearing good things from friends or colleagues.,A few times a week,A smart search engine (to find information quickly and accurately).,Disagree,Agree,Agree,Strongly Disagree,Disagree,Disagree,Agree,Moderately concerned,Not at all concerned,Moderately concerned,Moderately concerned,Moderately concerned,Disagree,Agree,Agree,Agree,Strongly Agree,Agree,sl
31/03/2026 09:20:41,Slovenia,Female,1st year,"4 - Advanced: I use AI tools regularly for various tasks and have a good understanding of their capabilities, limits, and potential biases.",A few times a week,"Solving math/logic problems or coding, Helping with homework / Lesson planning, Other (making study notes)",I copy and paste it directly without reading it thoroughly.,The AI and I would have produced a similar result.,It is a huge time saver.,A moderate amount of time (I ask for a few adjustments or refinements).,Not very confident,"I do a quick search (e.g., Google, Wikipedia) to verify it.","No, never.","No, never.",Suspicion,You wait until it becomes mainstream and most people are using it.,Daily,A personal tutor/mentor (to explain concepts and help me learn).,Disagree,Agree,Agree,Strongly Disagree,Agree,Strongly Disagree,Disagree,Slightly concerned,Slightly concerned,Not at all concerned,Moderately concerned,Slightly concerned,Agree,Agree,Disagree,Disagree,Agree,Agree,sl
31/03/2026 09:19:33,Slovenia,Female,1st year,"5 - Expert: I have a deep understanding of how AI works, use it extensively, and could comfortably teach others how to use it responsibly.",A few times a week,"Brainstorming ideas and getting inspiration, Summarizing long documents or articles",I use it as a draft or inspiration and rewrite it heavily.,"My original work would have been better, but the AI was faster.","It enriches my work (gives me ideas I wouldn't have had), but takes about the same amount of time.",A moderate amount of time (I ask for a few adjustments or refinements).,Somewhat confident,I systematically check primary and authoritative sources to confirm the data.,"Yes, occasionally.","Yes, frequently.","Curiosity, Skepticism",You are one of the first to try it out.,A few times a month,A creative assistant/collaborator (to brainstorm and co-create).,Agree,Disagree,Agree,Strongly Disagree,Disagree,Strongly Disagree,Disagree,Slightly concerned,Slightly concerned,Moderately concerned,Not at all concerned,Moderately concerned,Agree,Strongly Disagree,Agree,Agree,Disagree,Strongly Disagree,sl
31/03/2026 09:19:18,Slovenia,Female,1st year,3 - Intermediate: I use some AI tools occasionally for simple tasks and understand their basic functions.,A few times a week,"Writing/drafting text (emails, essays, reports), Solving math/logic problems or coding, Helping with homework / Lesson planning, Generating images or presentations",I review the AI-generated output to identify potential errors and refine the text as necessary.,"My original work would have been better, but the AI was faster.","It enriches my work (gives me ideas I wouldn't have had), but takes about the same amount of time.",A moderate amount of time (I ask for a few adjustments or refinements).,Not very confident,I ask the AI itself if it is sure about the answer.,"Yes, occasionally.","Yes, occasionally.","Curiosity, Hope, Enthusiasm",You try it out after hearing good things from friends or colleagues.,A few times a week,A creative assistant/collaborator (to brainstorm and co-create).,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Slightly concerned,Slightly concerned,Moderately concerned,Moderately concerned,Moderately concerned,Agree,Agree,Disagree,Disagree,Agree,Agree,sl
31/03/2026 09:19:17,Slovenia,Male,1st year,"4 - Advanced: I use AI tools regularly for various tasks and have a good understanding of their capabilities, limits, and potential biases.",Daily,"Brainstorming ideas and getting inspiration, Translating texts or learning a language, Summarizing long documents or articles, Writing/drafting text (emails, essays, reports), Solving math/logic problems or coding, Helping with homework / Lesson planning, Generating images or presentations","I read it to check for major errors, but keep it mostly intact.","My original work would have been better, but the AI was faster.",It is a huge time saver.,A moderate amount of time (I ask for a few adjustments or refinements).,Somewhat confident,I ask the AI itself if it is sure about the answer.,"Yes, frequently.","No, never.","Curiosity, Fear, Hope, Skepticism",You try it out after hearing good things from friends or colleagues.,Daily,A creative assistant/collaborator (to brainstorm and co-create).,Agree,Disagree,Disagree,Strongly Disagree,Disagree,Strongly Disagree,Disagree,Moderately concerned,Moderately concerned,Moderately concerned,Very concerned,Very concerned,Agree,Agree,Disagree,Disagree,Disagree,Disagree,sl
31/03/2026 09:19:12,Slovenia,Female,1st year,3 - Intermediate: I use some AI tools occasionally for simple tasks and understand their basic functions.,A few times a month,"Writing/drafting text (emails, essays, reports), Helping with homework / Lesson planning, Generating images or presentations",I use it as a draft or inspiration and rewrite it heavily.,The AI and I would have produced a similar result.,It is a huge time saver.,"A significant amount of time (I engage in long conversations, going back and forth until the output is perfect).",Not very confident,I ask the AI itself if it is sure about the answer.,"Yes, occasionally.","Yes, frequently.","Skepticism, Suspicion",You wait until it becomes mainstream and most people are using it.,A few times a month,A shortcut (to do the heavy lifting or do my assignments for me).,Disagree,Disagree,Disagree,Strongly Disagree,Disagree,Strongly Disagree,Strongly Disagree,Very concerned,Moderately concerned,Extremely concerned,Moderately concerned,Moderately concerned,Disagree,Disagree,Agree,Agree,Disagree,Disagree,sl
31/03/2026 09:18:03,Slovenia,Female,1st year,3 - Intermediate: I use some AI tools occasionally for simple tasks and understand their basic functions.,A few times a week,"Brainstorming ideas and getting inspiration, Translating texts or learning a language, Summarizing long documents or articles, Helping with homework / Lesson planning","I read it to check for major errors, but keep it mostly intact.",The AI and I would have produced a similar result.,It is a huge time saver.,A moderate amount of time (I ask for a few adjustments or refinements).,Somewhat confident,I ask the AI itself if it is sure about the answer.,I didn't know AI could do that.,"No, never.",Hope,You try it out after hearing good things from friends or colleagues.,A few times a week,A shortcut (to do the heavy lifting or do my assignments for me).,Agree,Disagree,Agree,Disagree,Agree,Strongly Disagree,Strongly Agree,Very concerned,Extremely concerned,Moderately concerned,Slightly concerned,Moderately concerned,Strongly Agree,Strongly Disagree,Agree,Agree,Agree,Disagree,sl
31/03/2026 09:17:50,Slovenia,Female,1st year,"4 - Advanced: I use AI tools regularly for various tasks and have a good understanding of their capabilities, limits, and potential biases.",Daily,"Brainstorming ideas and getting inspiration, Solving math/logic problems or coding, Helping with homework / Lesson planning, Generating images or presentations",I review the AI-generated output to identify potential errors and refine the text as necessary.,"My original work would have been better, but the AI was faster.",It is a waste of time (I spend more time prompting and correcting than doing it myself).,A moderate amount of time (I ask for a few adjustments or refinements).,Not very confident,"I do a quick search (e.g., Google, Wikipedia) to verify it.","Yes, occasionally.",I have never paid attention to this aspect.,"Curiosity, Suspicion",You wait until it becomes mainstream and most people are using it.,A few times a week,A personal tutor/mentor (to explain concepts and help me learn).,Agree,Disagree,Agree,Disagree,Agree,Disagree,Agree,Not at all concerned,Moderately concerned,Very concerned,Very concerned,Very concerned,Agree,Agree,Disagree,Agree,Disagree,Disagree,sl
31/03/2026 09:17:46,Slovenia,Female,1st year,"4 - Advanced: I use AI tools regularly for various tasks and have a good understanding of their capabilities, limits, and potential biases.",A few times a week,"Translating texts or learning a language, Helping with homework / Lesson planning, Generating images or presentations",I use it as a draft or inspiration and rewrite it heavily.,"My original work would have been better, but the AI was faster.","It enriches my work (gives me ideas I wouldn't have had), but takes about the same amount of time.",A moderate amount of time (I ask for a few adjustments or refinements).,Very confident,I ask the AI itself if it is sure about the answer.,"Yes, occasionally.","No, never.","Curiosity, Enthusiasm, Suspicion",You try it out after hearing good things from friends or colleagues.,A few times a week,A creative assistant/collaborator (to brainstorm and co-create).,Agree,Agree,Agree,Disagree,Disagree,Agree,Agree,Moderately concerned,Slightly concerned,Slightly concerned,Slightly concerned,Slightly concerned,Agree,Agree,Disagree,Disagree,Disagree,Disagree,sl
31/03/2026 09:17:13,Slovenia,Female,1st year,3 - Intermediate: I use some AI tools occasionally for simple tasks and understand their basic functions.,A few times a week,"Translating texts or learning a language, Helping with homework / Lesson planning, Generating images or presentations",I use it as a draft or inspiration and rewrite it heavily.,"My original work would have been better, but the AI was faster.",It has no significant impact on my time or effort.,A moderate amount of time (I ask for a few adjustments or refinements).,Somewhat confident,"I do a quick search (e.g., Google, Wikipedia) to verify it.","Yes, occasionally.","Yes, occasionally.","Curiosity, Skepticism",You wait until it becomes mainstream and most people are using it.,A few times a week,A creative assistant/collaborator (to brainstorm and co-create).,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Moderately concerned,Slightly concerned,Moderately concerned,Moderately concerned,Very concerned,Disagree,Disagree,Agree,Agree,Agree,Disagree,sl
31/03/2026 09:16:46,Slovenia,Male,1st year,"5 - Expert: I have a deep understanding of how AI works, use it extensively, and could comfortably teach others how to use it responsibly.",Daily,"Translating texts or learning a language, Summarizing long documents or articles, Writing/drafting text (emails, essays, reports), Solving math/logic problems or coding, Helping with homework / Lesson planning, Generating images or presentations",I review the AI-generated output to identify potential errors and refine the text as necessary.,The AI produced a much better result than I could have.,It is a huge time saver.,A moderate amount of time (I ask for a few adjustments or refinements).,Very confident,"I do a quick search (e.g., Google, Wikipedia) to verify it.","Yes, occasionally.","No, never.",Enthusiasm,You wait until it becomes mainstream and most people are using it.,A few times a week,A smart search engine (to find information quickly and accurately).,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Extremely concerned,Extremely concerned,Very concerned,Very concerned,Very concerned,Disagree,Agree,Agree,Agree,Agree,Agree,sl
31/03/2026 08:25:24,Slovenia,Female,2nd year,3 - Intermediate: I use some AI tools occasionally for simple tasks and understand their basic functions.,Daily,"Brainstorming ideas and getting inspiration, Translating texts or learning a language, Writing/drafting text (emails, essays, reports), Helping with homework / Lesson planning, Generating images or presentations",I review the AI-generated output to identify potential errors and refine the text as necessary.,"My original work would have been better, but the AI was faster.",It is a huge time saver.,A moderate amount of time (I ask for a few adjustments or refinements).,Not very confident,I ask the AI itself if it is sure about the answer.,"Yes, occasionally.",I have never paid attention to this aspect.,"Anxiety, Curiosity, Enthusiasm",You try it out after hearing good things from friends or colleagues.,Daily,A smart search engine (to find information quickly and accurately).,Disagree,Agree,Agree,Disagree,Agree,Disagree,Strongly Disagree,Moderately concerned,Moderately concerned,Extremely concerned,Moderately concerned,Moderately concerned,Agree,Strongly Disagree,Disagree,Disagree,Agree,Disagree,sl
31/03/2026 08:24:53,Slovenia,Female,2nd year,"4 - Advanced: I use AI tools regularly for various tasks and have a good understanding of their capabilities, limits, and potential biases.",A few times a week,"Brainstorming ideas and getting inspiration, Summarizing long documents or articles, Solving math/logic problems or coding, Helping with homework / Lesson planning",I review the AI-generated output to identify potential errors and refine the text as necessary.,The AI and I would have produced a similar result.,"It enriches my work (gives me ideas I wouldn't have had), but takes about the same amount of time.",A moderate amount of time (I ask for a few adjustments or refinements).,Very confident,"I do a quick search (e.g., Google, Wikipedia) to verify it.","Yes, occasionally.","Yes, frequently.","Curiosity, Hope, Enthusiasm",You try it out after hearing good things from friends or colleagues.,A few times a week,A smart search engine (to find information quickly and accurately).,Agree,Agree,Disagree,Agree,Agree,Disagree,Disagree,Slightly concerned,Very concerned,Moderately concerned,Moderately concerned,Very concerned,Agree,Agree,Strongly Agree,Agree,Disagree,Disagree,sl
31/03/2026 08:24:50,Slovenia,Female,2nd year,"5 - Expert: I have a deep understanding of how AI works, use it extensively, and could comfortably teach others how to use it responsibly.",A few times a week,"Translating texts or learning a language, Summarizing long documents or articles, Solving math/logic problems or coding, Generating images or presentations",I review the AI-generated output to identify potential errors and refine the text as necessary.,The AI produced a much better result than I could have.,It is a huge time saver.,A moderate amount of time (I ask for a few adjustments or refinements).,Somewhat confident,"I do a quick search (e.g., Google, Wikipedia) to verify it.","No, never.",I have never paid attention to this aspect.,Anxiety,You try it out after hearing good things from friends or colleagues.,A few times a week,A personal tutor/mentor (to explain concepts and help me learn).,Agree,Agree,Agree,Agree,Disagree,Disagree,Strongly Disagree,Extremely concerned,Very concerned,Moderately concerned,Moderately concerned,Extremely concerned,Agree,Agree,Agree,Agree,Agree,Disagree,sl
31/03/2026 08:24:32,Slovenia,Female,2nd year,"4 - Advanced: I use AI tools regularly for various tasks and have a good understanding of their capabilities, limits, and potential biases.",Daily,"Brainstorming ideas and getting inspiration, Helping with homework / Lesson planning",I review the AI-generated output to identify potential errors and refine the text as necessary.,The AI produced a much better result than I could have.,It is a huge time saver.,A moderate amount of time (I ask for a few adjustments or refinements).,Very confident,I ask the AI itself if it is sure about the answer.,"Yes, occasionally.","Yes, occasionally.",Curiosity,You try it out after hearing good things from friends or colleagues.,A few times a week,A smart search engine (to find information quickly and accurately).,Disagree,Disagree,Agree,Agree,Disagree,Disagree,Agree,Very concerned,Moderately concerned,Very concerned,Very concerned,Moderately concerned,Agree,Agree,Agree,Agree,Agree,Agree,sl
31/03/2026 08:23:35,Slovenia,Female,2nd year,"4 - Advanced: I use AI tools regularly for various tasks and have a good understanding of their capabilities, limits, and potential biases.",Rarely,"Solving math/logic problems or coding, Helping with homework / Lesson planning",I use it as a draft or inspiration and rewrite it heavily.,The AI produced a much better result than I could have.,"It enriches my work (gives me ideas I wouldn't have had), but takes about the same amount of time.",A moderate amount of time (I ask for a few adjustments or refinements).,Somewhat confident,I ask the AI itself if it is sure about the answer.,"Yes, occasionally.",I have never paid attention to this aspect.,Enthusiasm,You try it out after hearing good things from friends or colleagues.,A few times a week,A creative assistant/collaborator (to brainstorm and co-create).,Disagree,Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Not at all concerned,Not at all concerned,Slightly concerned,Slightly concerned,Slightly concerned,Agree,Disagree,Agree,Disagree,Agree,Disagree,sl
31/03/2026 08:23:18,Slovenia,Female,2nd year,"4 - Advanced: I use AI tools regularly for various tasks and have a good understanding of their capabilities, limits, and potential biases.",Daily,"Brainstorming ideas and getting inspiration, Translating texts or learning a language, Summarizing long documents or articles, Writing/drafting text (emails, essays, reports), Helping with homework / Lesson planning",I review the AI-generated output to identify potential errors and refine the text as necessary.,The AI produced a much better result than I could have.,It is a huge time saver.,A moderate amount of time (I ask for a few adjustments or refinements).,Not very confident,I ask the AI itself if it is sure about the answer.,"Yes, occasionally.",I have never paid attention to this aspect.,"Fear, Skepticism, Enthusiasm, Suspicion",You are one of the first to try it out.,A few times a week,A smart search engine (to find information quickly and accurately).,Agree,Agree,Disagree,Agree,Agree,Disagree,Strongly Disagree,Very concerned,Moderately concerned,Moderately concerned,Slightly concerned,Slightly concerned,Disagree,Agree,Agree,Disagree,Disagree,Disagree,sl
31/03/2026 08:23:15,Slovenia,Male,2nd year,3 - Intermediate: I use some AI tools occasionally for simple tasks and understand their basic functions.,A few times a week,"Brainstorming ideas and getting inspiration, Translating texts or learning a language, Summarizing long documents or articles, Helping with homework / Lesson planning",I review the AI-generated output to identify potential errors and refine the text as necessary.,The AI produced a much better result than I could have.,"It enriches my work (gives me ideas I wouldn't have had), but takes about the same amount of time.",A moderate amount of time (I ask for a few adjustments or refinements).,Very confident,"I do a quick search (e.g., Google, Wikipedia) to verify it.","Yes, occasionally.","Yes, frequently.","Curiosity, Enthusiasm, Suspicion",You try it out after hearing good things from friends or colleagues.,A few times a week,A smart search engine (to find information quickly and accurately).,Agree,Disagree,Disagree,Agree,Disagree,Strongly Disagree,Agree,Very concerned,Slightly concerned,Extremely concerned,Extremely concerned,Extremely concerned,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,sl
31/03/2026 08:23:05,Slovenia,Male,2nd year,"4 - Advanced: I use AI tools regularly for various tasks and have a good understanding of their capabilities, limits, and potential biases.",A few times a week,"Brainstorming ideas and getting inspiration, Translating texts or learning a language, Writing/drafting text (emails, essays, reports), Solving math/logic problems or coding, Helping with homework / Lesson planning","I read it to check for major errors, but keep it mostly intact.",The AI and I would have produced a similar result.,"It enriches my work (gives me ideas I wouldn't have had), but takes about the same amount of time.",A moderate amount of time (I ask for a few adjustments or refinements).,Very confident,"I do a quick search (e.g., Google, Wikipedia) to verify it.","Yes, frequently.","Yes, occasionally.","Curiosity, Hope, Enthusiasm",You wait until it becomes mainstream and most people are using it.,A few times a week,A creative assistant/collaborator (to brainstorm and co-create).,Disagree,Disagree,Strongly Agree,Disagree,Disagree,Disagree,Disagree,Slightly concerned,Slightly concerned,Moderately concerned,Not at all concerned,Very concerned,Agree,Agree,Strongly Agree,Agree,Agree,Disagree,sl
31/03/2026 08:21:51,Slovenia,Female,2nd year,"4 - Advanced: I use AI tools regularly for various tasks and have a good understanding of their capabilities, limits, and potential biases.",Daily,Helping with homework / Lesson planning,I use it as a draft or inspiration and rewrite it heavily.,The AI and I would have produced a similar result.,It is a huge time saver.,A moderate amount of time (I ask for a few adjustments or refinements).,Somewhat confident,"I do a quick search (e.g., Google, Wikipedia) to verify it.","Yes, occasionally.","Yes, occasionally.",Curiosity,You wait until it becomes mainstream and most people are using it.,Daily,A shortcut (to do the heavy lifting or do my assignments for me).,Agree,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Moderately concerned,Moderately concerned,Moderately concerned,Moderately concerned,Slightly concerned,Agree,Disagree,Agree,Agree,Agree,Agree,sl
31/03/2026 08:21:34,Slovenia,Female,2nd year,3 - Intermediate: I use some AI tools occasionally for simple tasks and understand their basic functions.,Daily,"Solving math/logic problems or coding, Helping with homework / Lesson planning",I review the AI-generated output to identify potential errors and refine the text as necessary.,The AI produced a much better result than I could have.,It is a huge time saver.,A moderate amount of time (I ask for a few adjustments or refinements).,Very confident,"I do a quick search (e.g., Google, Wikipedia) to verify it.","Yes, occasionally.","Yes, frequently.","Anxiety, Curiosity",You wait until it becomes mainstream and most people are using it.,Rarely,A shortcut (to do the heavy lifting or do my assignments for me).,Disagree,Disagree,Agree,Disagree,Disagree,Agree,Strongly Disagree,Very concerned,Very concerned,Very concerned,Very concerned,Very concerned,Strongly Agree,Disagree,Disagree,Disagree,Strongly Agree,Strongly Disagree,sl
31/03/2026 08:21:03,Slovenia,Female,2nd year,3 - Intermediate: I use some AI tools occasionally for simple tasks and understand their basic functions.,A few times a week,"Brainstorming ideas and getting inspiration, Summarizing long documents or articles, Writing/drafting text (emails, essays, reports), Helping with homework / Lesson planning",I use it as a draft or inspiration and rewrite it heavily.,"My original work would have been better, but the AI was faster.",It is a huge time saver.,"A significant amount of time (I engage in long conversations, going back and forth until the output is perfect).",Somewhat confident,"I do a quick search (e.g., Google, Wikipedia) to verify it.","Yes, occasionally.","No, never.","Enthusiasm, Suspicion",You try it out after hearing good things from friends or colleagues.,A few times a week,A smart search engine (to find information quickly and accurately).,Agree,Strongly Disagree,Agree,Disagree,Disagree,Agree,Disagree,Extremely concerned,Not at all concerned,Extremely concerned,Not at all concerned,Very concerned,Agree,Agree,Agree,Strongly Agree,Agree,Agree,sl
31/03/2026 08:20:37,Slovenia,Male,2nd year,3 - Intermediate: I use some AI tools occasionally for simple tasks and understand their basic functions.,A few times a week,"Writing/drafting text (emails, essays, reports), Helping with homework / Lesson planning, Generating images or presentations",I review the AI-generated output to identify potential errors and refine the text as necessary.,The AI and I would have produced a similar result.,"It enriches my work (gives me ideas I wouldn't have had), but takes about the same amount of time.",A moderate amount of time (I ask for a few adjustments or refinements).,Somewhat confident,I trust it completely and use it as is.,"No, never.",I have never paid attention to this aspect.,Curiosity,You wait until it becomes mainstream and most people are using it.,A few times a week,A smart search engine (to find information quickly and accurately).,Agree,Agree,Disagree,Disagree,Agree,Strongly Disagree,Agree,Not at all concerned,Slightly concerned,Slightly concerned,Moderately concerned,Slightly concerned,Disagree,Disagree,Disagree,Disagree,Agree,Agree,sl
31/03/2026 08:19:22,Slovenia,Male,2nd year,3 - Intermediate: I use some AI tools occasionally for simple tasks and understand their basic functions.,Daily,"Brainstorming ideas and getting inspiration, Writing/drafting text (emails, essays, reports), Solving math/logic problems or coding, Generating images or presentations","I read it to check for major errors, but keep it mostly intact.",The AI and I would have produced a similar result.,It is a huge time saver.,A moderate amount of time (I ask for a few adjustments or refinements).,Somewhat confident,I ask the AI itself if it is sure about the answer.,"Yes, occasionally.","Yes, occasionally.","Anxiety, Curiosity, Enthusiasm",You try it out after hearing good things from friends or colleagues.,A few times a week,A personal tutor/mentor (to explain concepts and help me learn).,Agree,Agree,Agree,Disagree,Agree,Agree,Disagree,Moderately concerned,Slightly concerned,Moderately concerned,Moderately concerned,Slightly concerned,Disagree,Disagree,Agree,Disagree,Agree,Agree,sl
31/03/2026 08:06:37,Slovenia,Male,3rd year,3 - Intermediate: I use some AI tools occasionally for simple tasks and understand their basic functions.,A few times a week,Solving math/logic problems or coding,I use it as a draft or inspiration and rewrite it heavily.,The AI produced a much better result than I could have.,"It enriches my work (gives me ideas I wouldn't have had), but takes about the same amount of time.","A significant amount of time (I engage in long conversations, going back and forth until the output is perfect).",Not very confident,I ask the AI itself if it is sure about the answer.,"Yes, occasionally.","No, never.",Enthusiasm,You wait until it becomes mainstream and most people are using it.,A few times a month,A creative assistant/collaborator (to brainstorm and co-create).,Strongly Disagree,Agree,Agree,Agree,Disagree,Strongly Disagree,Strongly Disagree,Not at all concerned,Not at all concerned,Slightly concerned,Not at all concerned,Moderately concerned,Strongly Disagree,Disagree,Strongly Disagree,Agree,Agree,Strongly Disagree,sl
31/03/2026 08:04:19,Slovenia,Male,3rd year,3 - Intermediate: I use some AI tools occasionally for simple tasks and understand their basic functions.,A few times a week,"Translating texts or learning a language, Helping with homework / Lesson planning",I review the AI-generated output to identify potential errors and refine the text as necessary.,"My original work would have been better, but the AI was faster.",It is a huge time saver.,A moderate amount of time (I ask for a few adjustments or refinements).,Somewhat confident,"I do a quick search (e.g., Google, Wikipedia) to verify it.","Yes, occasionally.","Yes, frequently.","Anxiety, Skepticism",You try it out after hearing good things from friends or colleagues.,A few times a week,A smart search engine (to find information quickly and accurately).,Disagree,Agree,Agree,Strongly Disagree,Disagree,Agree,Disagree,Slightly concerned,Very concerned,Extremely concerned,Extremely concerned,Moderately concerned,Disagree,Disagree,Agree,Agree,Disagree,Disagree,sl
31/03/2026 07:58:42,Slovenia,Male,3rd year,"4 - Advanced: I use AI tools regularly for various tasks and have a good understanding of their capabilities, limits, and potential biases.",A few times a week,"Brainstorming ideas and getting inspiration, Writing/drafting text (emails, essays, reports), Solving math/logic problems or coding, Helping with homework / Lesson planning","I read it to check for major errors, but keep it mostly intact.",The AI and I would have produced a similar result.,It is a huge time saver.,A moderate amount of time (I ask for a few adjustments or refinements).,Somewhat confident,"I do a quick search (e.g., Google, Wikipedia) to verify it.","Yes, occasionally.",I have never paid attention to this aspect.,Skepticism,You wait until it becomes mainstream and most people are using it.,A few times a week,A smart search engine (to find information quickly and accurately).,Strongly Disagree,Disagree,Agree,Strongly Agree,Agree,Agree,Strongly Disagree,Moderately concerned,Slightly concerned,Extremely concerned,Slightly concerned,Not at all concerned,Disagree,Disagree,Agree,Agree,Agree,Strongly Disagree,sl
31/03/2026 07:53:58,Slovenia,Male,3rd year,"4 - Advanced: I use AI tools regularly for various tasks and have a good understanding of their capabilities, limits, and potential biases.",A few times a week,"Translating texts or learning a language, Writing/drafting text (emails, essays, reports), Solving math/logic problems or coding, Helping with homework / Lesson planning, Generating images or presentations","I read it to check for major errors, but keep it mostly intact.",The AI produced a much better result than I could have.,It is a huge time saver.,A moderate amount of time (I ask for a few adjustments or refinements).,Somewhat confident,"I do a quick search (e.g., Google, Wikipedia) to verify it.","Yes, occasionally.",I have never paid attention to this aspect.,"Curiosity, Enthusiasm",You try it out after hearing good things from friends or colleagues.,A few times a week,A smart search engine (to find information quickly and accurately).,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Disagree,Disagree,Slightly concerned,Not at all concerned,Moderately concerned,Slightly concerned,Moderately concerned,Disagree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Disagree,sl
31/03/2026 07:53:56,Slovenia,Female,3rd year,3 - Intermediate: I use some AI tools occasionally for simple tasks and understand their basic functions.,A few times a week,"Brainstorming ideas and getting inspiration, Translating texts or learning a language, Summarizing long documents or articles",I review the AI-generated output to identify potential errors and refine the text as necessary.,The AI and I would have produced a similar result.,"It enriches my work (gives me ideas I wouldn't have had), but takes about the same amount of time.","A significant amount of time (I engage in long conversations, going back and forth until the output is perfect).",Somewhat confident,"I do a quick search (e.g., Google, Wikipedia) to verify it.","Yes, occasionally.",I have never paid attention to this aspect.,"Curiosity, Skepticism",You try it out after hearing good things from friends or colleagues.,A few times a week,A personal tutor/mentor (to explain concepts and help me learn).,Agree,Disagree,Agree,Disagree,Agree,Disagree,Disagree,Slightly concerned,Moderately concerned,Moderately concerned,Slightly concerned,Slightly concerned,Disagree,Agree,Agree,Agree,Agree,Disagree,sl
31/03/2026 07:53:42,Slovenia,Male,3rd year,"4 - Advanced: I use AI tools regularly for various tasks and have a good understanding of their capabilities, limits, and potential biases.",A few times a week,"Translating texts or learning a language, Summarizing long documents or articles, Solving math/logic problems or coding, Helping with homework / Lesson planning, Generating images or presentations",I review the AI-generated output to identify potential errors and refine the text as necessary.,The AI and I would have produced a similar result.,It is a huge time saver.,A moderate amount of time (I ask for a few adjustments or refinements).,Very confident,I trust it completely and use it as is.,"No, never.","Yes, frequently.","Curiosity, Enthusiasm",You only use it if it is strictly required for school or work.,A few times a month,A creative assistant/collaborator (to brainstorm and co-create).,Disagree,Disagree,Disagree,Agree,Agree,Strongly Disagree,Disagree,Not at all concerned,Slightly concerned,Very concerned,Not at all concerned,Extremely concerned,Disagree,Agree,Agree,Agree,Agree,Disagree,sl
