0. Timestamp,1. Country,2. Gender,3. Age Group,4. Years of Teaching Experience,5. Main Subject Taught,6. Self-Assessed Knowledge: How knowledgeable do you consider yourself about Artificial Intelligence?,2.1 Frequency of Use: How often do you currently use Generative AI tools?,2.2 Primary Use Cases: What are the main tasks you use AI for?,"2.2.1 Output Reworking: When you generate text or content using AI, how do you typically handle the output?",2.2.2 Quality Perception: How do you usually evaluate the quality of the AI-generated output compared to what you could have done on your own?,"2.2.3 Efficiency and Value: Overall, how does using AI affect the time and effort required for your tasks?",2.2.4 Interaction Effort (Prompting): How much time and effort do you usually spend interacting with the AI to get a satisfactory result?,2.3 Confidence in Detection: How confident are you in your ability to distinguish a text or image created by a human from one generated by AI?,"2.3.1 Fact-Checking Habits: When an AI tool provides you with new historical, scientific, or factual information, what do you usually do?","2.3.2 Awareness of Hallucinations: Have you ever noticed an AI tool completely inventing a source, fact, or name that sounded extremely convincing but was actually fake?",2.3.3 Awareness of Bias: Have you ever noticed that AI-generated images or texts tend to reflect cultural or gender stereotypes?,"2.4 General Feeling: When you think about the integration of AI in school and education, which of the following feelings prevail?",DT1.1 Technology Adoption Profile: When a new digital technology is released,DT1.2 Specific Frequency of Use: How often do you use Generative AI tools specifically for school-related or work-related tasks?,DT1.3 AI Perception: You see AI primarily as,"DT1.4 I feel I possess the right pedagogical strategies to integrate AI into my lessons in a way that truly enhances learning, rather than just acting as a shortcut",DT1.5 Guidelines on AI: My school provides clear guidelines and support on how to use AI in the classroom.,"DT2.1 AI tools truly ""understand"" the meaning of the text they generate.","DT2.2 The information provided by AI is generally neutral, objective, and unbiased.",DT2.3 I think AI is inherently smarter and more capable than human beings.,DT2.4 I usually trust the factual accuracy of AI-generated answers without feeling the need to double-check other sources.,DT2.5 I clearly understand how a GenAI assistant generates its responses.,DT2.6 The way I request something to AI doesn‚Äôt have any impact on the quality of the result produced,DT3.1 The widespread use of AI makes it impossible to assess students' real learning and capabilities accurately.,"DT3.2 Relying on AI will reduce students' critical thinking, creativity, and problem-solving skills.","DT3.3 The difficulty of distinguishing between human-created and AI-generated content (e.g., fake news, deepfakes).","DT3.4 How AI platforms collect, use, and store the personal data and inputs of my students.","DT3.5 AI tools might reinforce existing social biases and discrimination (e.g., gender, race, cultural stereotypes).",DT3.6 Unequal access to premium (paid) AI tools will create unfair advantages among students.,DT3.7 The constant learning pressure to keep up with new digital and AI tools causes me stress and anxiety.,DT3.8 I worry that relying on AI to produce high-quality work makes me feel less capable or smart when I have to complete similar tasks on my own.,"DT4.1 I expect AI to significantly speed up my daily study/work tasks, making me more efficient.",DT4.2 I believe AI can perfectly tailor learning materials to match the individual learning pace and style of each student.,DT4.3 I expect AI to make learning more accessible and inclusive for students with diverse cognitive needs or language barriers.,"DT4.4. I expect AI to take over administrative and grading tasks, freeing up my time to focus more on human interaction and mentoring."
07/04/2026 10:29:00,Spain,Female,Under 30,0-5 years,Vocational/Technical,"5 - Expert: I have a deep understanding of how AI works, use it extensively, and could comfortably teach others how to use it responsibly.",Daily,"Brainstorming ideas and getting inspiration, Escriptura/redacció de textos (correus electrònics, assaigs, informes), Generating images or presentations",I review the AI-generated output to identify potential errors and refine the text as necessary.,The AI produced a much better result than I could have.,It is a huge time saver.,"A significant amount of time (I engage in long conversations, going back and forth until the output is perfect).",Not at all confident,I ask the AI itself if it is sure about the answer.,"Yes, frequently.","Yes, occasionally.","Fear, Suspicion",You are one of the first to try it out.,Daily,A creative assistant/collaborator (to brainstorm and co-create).,Strongly Agree,Agree,Agree,Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Not at all concerned,Extremely concerned,Very concerned,Not at all concerned,Slightly concerned,Not at all concerned,Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
07/04/2026 10:30:09,Spain,Male,30-40,6-15 years,Vocational/Technical,3 - Intermediate: I use some AI tools occasionally for simple tasks and understand their basic functions.,A few times a month,"Brainstorming ideas and getting inspiration, Escriptura/redacció de textos (correus electrònics, assaigs, informes), Helping with homework / Lesson planning, Generating images or presentations",I review the AI-generated output to identify potential errors and refine the text as necessary.,"My original work would have been better, but the AI was faster.",It is a huge time saver.,A moderate amount of time (I ask for a few adjustments or refinements).,Not very confident,"I do a quick search (e.g., Google, Wikipedia) to verify it.","Yes, occasionally.","No, never.","Curiosity, Skepticism, Suspicion",You only use it if it is strictly required for school or work.,A few times a month,A shortcut (to do the heavy lifting or do my assignments for me).,Disagree,Disagree,Strongly Disagree,Disagree,Disagree,Disagree,Agree,Strongly Disagree,Moderately concerned,Extremely concerned,Moderately concerned,Moderately concerned,Slightly concerned,Moderately concerned,Disagree,Disagree,Agree,Disagree,Disagree,Agree
07/04/2026 10:59:18,Spain,Female,41-50,16-25 years,Vocational/Technical,3 - Intermediate: I use some AI tools occasionally for simple tasks and understand their basic functions.,A few times a week,"Summarizing long documents or articles, Escriptura/redacció de textos (correus electrònics, assaigs, informes), Generating images or presentations",I review the AI-generated output to identify potential errors and refine the text as necessary.,"My original work would have been better, but the AI was faster.",It is a huge time saver.,"A significant amount of time (I engage in long conversations, going back and forth until the output is perfect).",Not very confident,"I do a quick search (e.g., Google, Wikipedia) to verify it.","Yes, occasionally.","Yes, occasionally.",Fear,You wait until it becomes mainstream and most people are using it.,A few times a week,A smart search engine (to find information quickly and accurately).,Agree,Disagree,Disagree,Agree,Strongly Disagree,Disagree,Agree,Disagree,Extremely concerned,Extremely concerned,Extremely concerned,Extremely concerned,Very concerned,Very concerned,Disagree,Disagree,Agree,Disagree,Agree,Agree
07/04/2026 10:59:39,Spain,Female,41-50,6-15 years,Vocational/Technical,"5 - Expert: I have a deep understanding of how AI works, use it extensively, and could comfortably teach others how to use it responsibly.",A few times a week,"Brainstorming ideas and getting inspiration, Summarizing long documents or articles, Generating images or presentations","I read it to check for major errors, but keep it mostly intact.","My original work would have been better, but the AI was faster.",It is a huge time saver.,A moderate amount of time (I ask for a few adjustments or refinements).,Not very confident,I ask the AI itself if it is sure about the answer.,"Yes, occasionally.","Yes, occasionally.","Curiosity, Skepticism, Suspicion",You are one of the first to try it out.,A few times a week,A creative assistant/collaborator (to brainstorm and co-create).,Agree,Agree,Disagree,Disagree,Disagree,Agree,Agree,Agree,Slightly concerned,Slightly concerned,Slightly concerned,Slightly concerned,Slightly concerned,Slightly concerned,Agree,Agree,Agree,Disagree,Disagree,Disagree
07/04/2026 11:09:09,Spain,Female,51-60,6-15 years,"STEM (Math, Science, IT)","2 - Novice: I know the basic concepts and have seen AI tools, but I rarely or never use them myself.",A few times a month,"Summarizing long documents or articles, Solving math/logic problems or coding",I use it as a draft or inspiration and rewrite it heavily.,"My original work would have been better, but the AI was faster.",It has no significant impact on my time or effort.,Very little time (I usually accept the first answer it provides).,Somewhat confident,I ask the AI itself if it is sure about the answer.,"No, never.","No, never.",Skepticism,You wait until it becomes mainstream and most people are using it.,A few times a month,A shortcut (to do the heavy lifting or do my assignments for me).,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Moderately concerned,Extremely concerned,Extremely concerned,Extremely concerned,Moderately concerned,Slightly concerned,Strongly agree,Agree,Agree,Disagree,Agree,Agree
07/04/2026 11:09:34,Spain,Female,41-50,0-5 years,Vocational/Technical,3 - Intermediate: I use some AI tools occasionally for simple tasks and understand their basic functions.,Daily,"Brainstorming ideas and getting inspiration, Escriptura/redacció de textos (correus electrònics, assaigs, informes)",I review the AI-generated output to identify potential errors and refine the text as necessary.,The AI and I would have produced a similar result.,"It enriches my work (gives me ideas I wouldn't have had), but takes about the same amount of time.",A moderate amount of time (I ask for a few adjustments or refinements).,Not very confident,I systematically check primary and authoritative sources to confirm the data.,"Yes, occasionally.","Yes, frequently.","Excitement, Curiosity, Hope",You try it out after hearing good things from friends or colleagues.,Daily,A creative assistant/collaborator (to brainstorm and co-create).,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Slightly concerned,Moderately concerned,Moderately concerned,Moderately concerned,Moderately concerned,Moderately concerned,Disagree,Disagree,Agree,Agree,Agree,Agree
07/04/2026 12:02:28,Spain,Female,30-40,6-15 years,Vocational/Technical,3 - Intermediate: I use some AI tools occasionally for simple tasks and understand their basic functions.,Rarely,Elaborar rúbriques,I use it as a draft or inspiration and rewrite it heavily.,"My original work would have been better, but the AI was faster.",It is a huge time saver.,A moderate amount of time (I ask for a few adjustments or refinements).,Somewhat confident,"I do a quick search (e.g., Google, Wikipedia) to verify it.","Yes, frequently.","Yes, occasionally.",Fear,You wait until it becomes mainstream and most people are using it.,Rarely,A shortcut (to do the heavy lifting or do my assignments for me).,Agree,Disagree,Strongly Disagree,Disagree,Strongly Disagree,Strongly Disagree,Disagree,Strongly Disagree,Very concerned,Very concerned,Extremely concerned,Extremely concerned,Very concerned,Extremely concerned,Agree,Disagree,Agree,Agree,Strongly Agree,Strongly Agree
07/04/2026 17:43:05,Spain,Male,41-50,0-5 years,Vocational/Technical,"5 - Expert: I have a deep understanding of how AI works, use it extensively, and could comfortably teach others how to use it responsibly.",Daily,"Summarizing long documents or articles, Generating images or presentations, actes de reunió, anàlisi de tasques",I review the AI-generated output to identify potential errors and refine the text as necessary.,The AI produced a much better result than I could have.,It is a huge time saver.,"A significant amount of time (I engage in long conversations, going back and forth until the output is perfect).",Not at all confident,I systematically check primary and authoritative sources to confirm the data.,"Yes, frequently.","Yes, frequently.","Curiosity, Fear, curiositat: Com ensenyar a aplicar sentit comú per interpretar el resultat",You try it out after hearing good things from friends or colleagues.,Daily,A creative assistant/collaborator (to brainstorm and co-create).,Agree,Disagree,Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Very concerned,Extremely concerned,Very concerned,Slightly concerned,Slightly concerned,Slightly concerned,Disagree,Strongly disagree,Strongly Agree,Agree,Agree,Strongly Agree
07/04/2026 19:36:24,CATALUNYA,Female,41-50,6-15 years,Vocational/Technical,3 - Intermediate: I use some AI tools occasionally for simple tasks and understand their basic functions.,A few times a week,"Summarizing long documents or articles, Escriptura/redacció de textos (correus electrònics, assaigs, informes), Helping with homework / Lesson planning, Generating images or presentations, EXÀMENS",I review the AI-generated output to identify potential errors and refine the text as necessary.,The AI and I would have produced a similar result.,"It enriches my work (gives me ideas I wouldn't have had), but takes about the same amount of time.",Very little time (I usually accept the first answer it provides).,Somewhat confident,I trust it completely and use it as is.,I didn't know AI could do that.,"Yes, occasionally.","Curiosity, Hope, Enthusiasm",You wait until it becomes mainstream and most people are using it.,A few times a week,A creative assistant/collaborator (to brainstorm and co-create).,Strongly Agree,Strongly Disagree,Agree,Agree,Agree,Agree,Agree,Disagree,Very concerned,Extremely concerned,Extremely concerned,Very concerned,Very concerned,Extremely concerned,Strongly disagree,Disagree,Agree,Agree,Agree,Agree
07/04/2026 19:41:35,Spain,Female,41-50,6-15 years,Vocational/Technical,3 - Intermediate: I use some AI tools occasionally for simple tasks and understand their basic functions.,A few times a week,"Escriptura/redacció de textos (correus electrònics, assaigs, informes), Generating images or presentations, per plantejar noves activitats a l'aula per treballar els continguts.",I review the AI-generated output to identify potential errors and refine the text as necessary.,"My original work would have been better, but the AI was faster.","It enriches my work (gives me ideas I wouldn't have had), but takes about the same amount of time.",A moderate amount of time (I ask for a few adjustments or refinements).,Somewhat confident,I systematically check primary and authoritative sources to confirm the data.,"No, never.","Yes, occasionally.","Curiosity, Fear, Desconfiança",You try it out after hearing good things from friends or colleagues.,A few times a week,A shortcut (to do the heavy lifting or do my assignments for me).,Disagree,Disagree,Disagree,Disagree,Agree,Disagree,Disagree,Disagree,Extremely concerned,Extremely concerned,Extremely concerned,Extremely concerned,Extremely concerned,Extremely concerned,Agree,Disagree,Agree,Agree,Agree,Disagree
07/04/2026 20:00:30,Spain,Female,30-40,0-5 years,Vocational/Technical,"4 - Advanced: I use AI tools regularly for various tasks and have a good understanding of their capabilities, limits, and potential biases.",A few times a week,"Brainstorming ideas and getting inspiration, Translating texts or learning a language, Solving math/logic problems or coding, Helping with homework / Lesson planning, Generating images or presentations",I use it as a draft or inspiration and rewrite it heavily.,"The AI's output was poor/incorrect, and I had to redo most of it.","It enriches my work (gives me ideas I wouldn't have had), but takes about the same amount of time.","A significant amount of time (I engage in long conversations, going back and forth until the output is perfect).",Not very confident,"I do a quick search (e.g., Google, Wikipedia) to verify it.","Yes, occasionally.",I have never paid attention to this aspect.,"Curiosity, Fear, Suspicion",You try it out after hearing good things from friends or colleagues.,A few times a week,A creative assistant/collaborator (to brainstorm and co-create).,Agree,Agree,Disagree,Agree,Disagree,Disagree,Agree,Disagree,Moderately concerned,Extremely concerned,Extremely concerned,Extremely concerned,Very concerned,Very concerned,Disagree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree
08/04/2026 10:01:19,Spain,Female,51-60,6-15 years,sanitat,"4 - Advanced: I use AI tools regularly for various tasks and have a good understanding of their capabilities, limits, and potential biases.",Daily,"Brainstorming ideas and getting inspiration, Summarizing long documents or articles, Helping with homework / Lesson planning, Generating images or presentations","I read it to check for major errors, but keep it mostly intact.",The AI produced a much better result than I could have.,It is a huge time saver.,"A significant amount of time (I engage in long conversations, going back and forth until the output is perfect).",Not very confident,I ask the AI itself if it is sure about the answer.,"Yes, occasionally.","No, never.",Hope,You try it out after hearing good things from friends or colleagues.,Daily,A personal tutor/mentor (to explain concepts and help me learn).,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Moderately concerned,Moderately concerned,Moderately concerned,Moderately concerned,Moderately concerned,Moderately concerned,Strongly disagree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
07/04/2026 21:10:12,Turkey,Female,41-50,16-25 years,"STEM (Math, Science, IT)","4 - İleri Seviye: Yapay zeka araçlarını çeşitli görevler için düzenli olarak kullanıyorum; yetenekleri, sınırları ve potansiyel yanlılıkları hakkında iyi bir anlayışa sahibim.",A few times a week,"Brainstorming ideas and getting inspiration, Translating texts or learning a language, Summarizing long documents or articles, Metin yazmak/taslak oluşturmak (e-posta, makale, rapor)",I use it as a draft or inspiration and rewrite it heavily.,"My original work would have been better, but the AI was faster.",It is a huge time saver.,A moderate amount of time (I ask for a few adjustments or refinements).,Somewhat confident,I systematically check primary and authoritative sources to confirm the data.,"Yes, occasionally.",I have never paid attention to this aspect.,"Excitement, Hope, Suspicion",You try it out after hearing good things from friends or colleagues.,A few times a week,A creative assistant/collaborator (to brainstorm and co-create).,Disagree,Agree,Strongly Disagree,Disagree,Strongly Disagree,Strongly Disagree,Disagree,Disagree,Moderately concerned,Slightly concerned,Moderately concerned,Moderately concerned,Moderately concerned,Extremely concerned,Disagree,Disagree,Agree,Agree,Strongly Agree,Disagree
07/04/2026 22:12:01,Turkey,Female,41-50,Over 25 years,"Humanities (Literature, History, Philosophy)",3 - Orta Seviye: Bazı yapay zeka araçlarını basit görevler için ara sıra kullanıyorum ve temel işlevlerini anlıyorum.,Rarely,"Metin yazmak/taslak oluşturmak (e-posta, makale, rapor), Generating images or presentations",I review the AI-generated output to identify potential errors and refine the text as necessary.,The AI produced a much better result than I could have.,It is a huge time saver.,A moderate amount of time (I ask for a few adjustments or refinements).,Not very confident,"I do a quick search (e.g., Google, Wikipedia) to verify it.","Yes, occasionally.",I have never paid attention to this aspect.,"Curiosity, Skepticism",You only use it if it is strictly required for school or work.,Rarely,A creative assistant/collaborator (to brainstorm and co-create).,Agree,Agree,Disagree,Disagree,Disagree,Strongly Disagree,Disagree,Disagree,Slightly concerned,Slightly concerned,Moderately concerned,Moderately concerned,Moderately concerned,Moderately concerned,Strongly agree,Agree,Agree,Agree,Agree,Agree
08/04/2026 01:14:43,Turkey,Female,41-50,16-25 years,"STEM (Math, Science, IT)",1 - Tamamen Başlangıç Seviyesi: Neredeyse hiçbir şey bilmiyorum. Terimi duydum ama ne olduğunu veya nasıl kullanıldığını bilmiyorum.,Never,Other _______,I review the AI-generated output to identify potential errors and refine the text as necessary.,"My original work would have been better, but the AI was faster.",It is a huge time saver.,"A significant amount of time (I engage in long conversations, going back and forth until the output is perfect).",Somewhat confident,I systematically check primary and authoritative sources to confirm the data.,"Yes, occasionally.",I have never paid attention to this aspect.,"Anxiety, Skepticism, Suspicion",You wait until it becomes mainstream and most people are using it.,Rarely,A smart search engine (to find information quickly and accurately).,Disagree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Moderately concerned,Moderately concerned,Slightly concerned,Slightly concerned,Slightly concerned,Moderately concerned,Agree,Disagree,Disagree,Disagree,Agree,Disagree
08/04/2026 06:50:31,Turkey,Male,41-50,16-25 years,İngilizce,3 - Orta Seviye: Bazı yapay zeka araçlarını basit görevler için ara sıra kullanıyorum ve temel işlevlerini anlıyorum.,Daily,"Translating texts or learning a language, Helping with homework / Lesson planning, Generating images or presentations",I review the AI-generated output to identify potential errors and refine the text as necessary.,The AI produced a much better result than I could have.,"It enriches my work (gives me ideas I wouldn't have had), but takes about the same amount of time.","A significant amount of time (I engage in long conversations, going back and forth until the output is perfect).",Somewhat confident,"I do a quick search (e.g., Google, Wikipedia) to verify it.","Yes, occasionally.","Yes, frequently.","Anxiety, Curiosity, Skepticism",You try it out after hearing good things from friends or colleagues.,Daily,A creative assistant/collaborator (to brainstorm and co-create).,Agree,Disagree,Agree,Disagree,Agree,Strongly Disagree,Agree,Strongly Disagree,Very concerned,Very concerned,Very concerned,Very concerned,Extremely concerned,Extremely concerned,Strongly agree,Strongly agree,Agree,Agree,Strongly Agree,Strongly Agree
08/04/2026 07:39:41,Turkey,Male,41-50,16-25 years,Din Kültürü ve Ahlak Bilgisi ,3 - Orta Seviye: Bazı yapay zeka araçlarını basit görevler için ara sıra kullanıyorum ve temel işlevlerini anlıyorum.,A few times a week,Brainstorming ideas and getting inspiration,I review the AI-generated output to identify potential errors and refine the text as necessary.,"My original work would have been better, but the AI was faster.","It enriches my work (gives me ideas I wouldn't have had), but takes about the same amount of time.",A moderate amount of time (I ask for a few adjustments or refinements).,Not very confident,I systematically check primary and authoritative sources to confirm the data.,"Yes, occasionally.",I have never paid attention to this aspect.,Skepticism,You wait until it becomes mainstream and most people are using it.,A few times a week,A creative assistant/collaborator (to brainstorm and co-create).,Agree,Disagree,Disagree,Disagree,Strongly Disagree,Strongly Disagree,Disagree,Strongly Disagree,Very concerned,Very concerned,Very concerned,Very concerned,Very concerned,Very concerned,Disagree,Disagree,Agree,Disagree,Agree,Agree
08/04/2026 07:51:07,Turkey,Female,30-40,6-15 years,"STEM (Math, Science, IT)",3 - Orta Seviye: Bazı yapay zeka araçlarını basit görevler için ara sıra kullanıyorum ve temel işlevlerini anlıyorum.,A few times a week,"Brainstorming ideas and getting inspiration, Metin yazmak/taslak oluşturmak (e-posta, makale, rapor), Generating images or presentations",I use it as a draft or inspiration and rewrite it heavily.,"My original work would have been better, but the AI was faster.",It is a huge time saver.,"A significant amount of time (I engage in long conversations, going back and forth until the output is perfect).",Somewhat confident,I systematically check primary and authoritative sources to confirm the data.,"Yes, frequently.",I have never paid attention to this aspect.,"Anxiety, Skepticism, Suspicion",You wait until it becomes mainstream and most people are using it.,A few times a week,A creative assistant/collaborator (to brainstorm and co-create).,Agree,Disagree,Agree,Strongly Disagree,Disagree,Strongly Disagree,Disagree,Strongly Disagree,Slightly concerned,Extremely concerned,Very concerned,Extremely concerned,Extremely concerned,Extremely concerned,Agree,Strongly agree,Agree,Disagree,Disagree,Strongly Disagree
08/04/2026 08:48:40,Turkey,Male,51-60,Over 25 years,Tarih,3 - Orta Seviye: Bazı yapay zeka araçlarını basit görevler için ara sıra kullanıyorum ve temel işlevlerini anlıyorum.,A few times a week,Brainstorming ideas and getting inspiration,I review the AI-generated output to identify potential errors and refine the text as necessary.,The AI and I would have produced a similar result.,It is a huge time saver.,A moderate amount of time (I ask for a few adjustments or refinements).,Somewhat confident,"I do a quick search (e.g., Google, Wikipedia) to verify it.","Yes, occasionally.",I have never paid attention to this aspect.,"Anxiety, Hope, Skepticism",You try it out after hearing good things from friends or colleagues.,A few times a week,A smart search engine (to find information quickly and accurately).,Agree,Disagree,Agree,Agree,Agree,Disagree,Disagree,Disagree,Very concerned,Very concerned,Very concerned,Moderately concerned,Moderately concerned,Very concerned,Disagree,Disagree,Agree,Disagree,Agree,Disagree
08/04/2026 09:27:33,Turkey,Female,41-50,16-25 years,Languages,3 - Orta Seviye: Bazı yapay zeka araçlarını basit görevler için ara sıra kullanıyorum ve temel işlevlerini anlıyorum.,A few times a month,"Brainstorming ideas and getting inspiration, Generating images or presentations",I use it as a draft or inspiration and rewrite it heavily.,The AI produced a much better result than I could have.,It is a huge time saver.,"A significant amount of time (I engage in long conversations, going back and forth until the output is perfect).",Somewhat confident,"I do a quick search (e.g., Google, Wikipedia) to verify it.",I didn't know AI could do that.,"Yes, occasionally.","Anxiety, Curiosity, Hope",You are one of the first to try it out.,A few times a month,A smart search engine (to find information quickly and accurately).,Strongly Disagree,Strongly Disagree,Disagree,Disagree,Disagree,Disagree,Strongly Disagree,Disagree,Moderately concerned,Extremely concerned,Extremely concerned,Extremely concerned,Extremely concerned,Extremely concerned,Strongly agree,Strongly agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
08/04/2026 11:10:34,Turkey,Female,41-50,16-25 years,"STEM (Math, Science, IT)",3 - Orta Seviye: Bazı yapay zeka araçlarını basit görevler için ara sıra kullanıyorum ve temel işlevlerini anlıyorum.,A few times a month,"Brainstorming ideas and getting inspiration, Metin yazmak/taslak oluşturmak (e-posta, makale, rapor), Generating images or presentations",I review the AI-generated output to identify potential errors and refine the text as necessary.,"My original work would have been better, but the AI was faster.",It is a huge time saver.,"A significant amount of time (I engage in long conversations, going back and forth until the output is perfect).",Not very confident,I systematically check primary and authoritative sources to confirm the data.,I didn't know AI could do that.,I have never paid attention to this aspect.,"Anxiety, Fear, Skepticism",You only use it if it is strictly required for school or work.,A few times a month,A creative assistant/collaborator (to brainstorm and co-create).,Agree,Agree,Agree,Disagree,Disagree,Strongly Disagree,Agree,Strongly Disagree,Moderately concerned,Moderately concerned,Very concerned,Very concerned,Very concerned,Very concerned,Agree,Disagree,Agree,Agree,Agree,Agree
